age,annual_income,occupation,gender,category,education,land_owned_acres,is_bpl,is_disabled,scheme_id,rule_score_pct,matched_count,missed_count,is_disqualified,synthetic_outcome_approved
57,40000,salaried,other,general,postgraduate,5,1,0,ayushman_bharat,100.0,2,0,0,1
57,40000,salaried,other,general,postgraduate,5,1,0,pm_suraksha_bima,100.0,2,0,0,1
57,40000,salaried,other,general,postgraduate,5,1,0,pm_awas_yojana_gramin,85.7,3,1,0,0
57,40000,salaried,other,general,postgraduate,5,1,0,mgnregs,66.7,2,1,0,1
57,40000,salaried,other,general,postgraduate,5,1,0,pm_kisan,0.0,3,1,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,pm_fasal_bima,0.0,2,1,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,kisan_credit_card,0.0,2,1,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,pm_matru_vandana,0.0,2,1,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,mahila_shakti_kendra,0.0,1,1,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,national_scholarship_portal,0.0,1,3,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,pm_scholarship_scheme,0.0,1,2,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,pm_jeevan_jyoti,0.0,1,1,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,pm_mudra_yojana,0.0,2,1,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,startup_india_seed_fund,0.0,0,2,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,deen_dayal_disability,0.0,1,1,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,post_matric_sc,0.0,1,2,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,eklavya_model_school,0.0,0,3,1,0
57,40000,salaried,other,general,postgraduate,5,1,0,indira_gandhi_old_age,0.0,2,1,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,pm_matru_vandana,100.0,3,0,0,1
23,250000,daily_wage,female,general,graduate,0,0,0,mahila_shakti_kendra,100.0,2,0,0,1
23,250000,daily_wage,female,general,graduate,0,0,0,pm_suraksha_bima,100.0,2,0,0,1
23,250000,daily_wage,female,general,graduate,0,0,0,pm_jeevan_jyoti,100.0,2,0,0,1
23,250000,daily_wage,female,general,graduate,0,0,0,mgnregs,66.7,2,1,0,1
23,250000,daily_wage,female,general,graduate,0,0,0,pm_kisan,0.0,2,2,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,pm_fasal_bima,0.0,1,2,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,kisan_credit_card,0.0,1,2,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,national_scholarship_portal,0.0,2,2,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,pm_scholarship_scheme,0.0,2,1,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,ayushman_bharat,0.0,0,2,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,pm_awas_yojana_gramin,0.0,3,1,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,pm_mudra_yojana,0.0,2,1,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,startup_india_seed_fund,0.0,1,1,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,deen_dayal_disability,0.0,1,1,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,post_matric_sc,0.0,1,2,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,eklavya_model_school,0.0,0,3,1,0
23,250000,daily_wage,female,general,graduate,0,0,0,indira_gandhi_old_age,0.0,0,3,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,pm_suraksha_bima,100.0,2,0,0,1
42,150000,unemployed,other,st,secondary,2.5,0,0,pm_jeevan_jyoti,100.0,2,0,0,1
42,150000,unemployed,other,st,secondary,2.5,0,0,mgnregs,100.0,3,0,0,1
42,150000,unemployed,other,st,secondary,2.5,0,0,pm_kisan,0.0,3,1,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,pm_fasal_bima,0.0,2,1,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,kisan_credit_card,0.0,2,1,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,pm_matru_vandana,0.0,2,1,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,mahila_shakti_kendra,0.0,1,1,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,national_scholarship_portal,0.0,2,2,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,pm_scholarship_scheme,0.0,1,2,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,ayushman_bharat,0.0,0,2,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,pm_awas_yojana_gramin,0.0,3,1,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,pm_mudra_yojana,0.0,2,1,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,startup_india_seed_fund,0.0,1,1,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,deen_dayal_disability,0.0,1,1,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,post_matric_sc,0.0,1,2,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,eklavya_model_school,0.0,1,2,1,0
42,150000,unemployed,other,st,secondary,2.5,0,0,indira_gandhi_old_age,0.0,0,3,1,0
73,90000,daily_wage,male,general,graduate,0.5,0,0,mgnregs,100.0,3,0,0,1
73,90000,daily_wage,male,general,graduate,0.5,0,0,pm_kisan,0.0,3,1,1,0
73,90000,daily_wage,male,general,graduate,0.5,0,0,pm_fasal_bima,0.0,2,1,1,0
73,90000,daily_wage,male,general,graduate,0.5,0,0,kisan_credit_card,0.0,2,1,1,0
73,90000,daily_wage,male,general,graduate,0.5,0,0,pm_matru_vandana,0.0,2,1,1,0
73,90000,daily_wage,male,general,graduate,0.5,0,0,mahila_shakti_kendra,0.0,1,1,1,0
73,90000,daily_wage,male,general,graduate,0.5,0,0,national_scholarship_portal,0.0,1,3,1,0
73,90000,daily_wage,male,general,graduate,0.5,0,0,pm_scholarship_scheme,0.0,1,2,1,0
73,90000,daily_wage,male,general,graduate,0.5,0,0,ayushman_bharat,0.0,1,1,1,0
73,90000,daily_wage,male,general,graduate,0.5,0,0,pm_suraksha_bima,0.0,1,1,1,0
73,90000,daily_wage,male,general,graduate,0.5,0,0,pm_jeevan_jyoti,0.0,1,1,1,0
